"geneSymbol","diseaseName"
"ACE2","Spontaneous abortion|Abortion, Tubal|Diabetic Nephropathy|Nodular glomerulosclerosis|Hypertensive disease|Aortic Aneurysm, Abdominal|Endomyocardial Fibrosis|Intellectual Disability|Early Pregnancy Loss|Miscarriage"
"ACER3","melanoma|LEUKODYSTROPHY, PROGRESSIVE, EARLY CHILDHOOD-ONSET"
"ACHE","Alzheimer's Disease|Amyloidosis|Anemia|Malignant neoplasm of urinary bladder|Bladder Neoplasm|Malignant neoplasm of breast|Renal Cell Carcinoma|Presenile dementia|Drug toxicity|Growth Disorders|Jacksonian Seizure|Learning Disorders|Liver Cirrhosis, Experimental|Memory Disorders|Movement Disorders|Muscular Dystrophy|nervous system disorder|Obesity|Prostatic Neoplasms|Schizophrenia|Seizures|Tremor|Saturnine Tremor|Adverse reaction to drug|Senile Tremor|Complex partial seizures|Memory impairment|Persistent Tremor|Continuous Tremor|Intermittent Tremor|Fine Tremor|Coarse Tremor|Massive Tremor|Action Tremor|Passive Tremor|Static Tremor|Resting Tremor|Darkness Tremor|Generalized seizures|Clonic Seizures|Tremor, Perioral|Tremor, Limb|Tremor, Muscle|Nerve Tremors|Tremor, Neonatal|Amphetamine-Related Disorders|Amphetamine Addiction|Amphetamine Abuse|Etat Marbre|Visual seizure|Tonic Seizures|Epileptic drop attack|Familial Alzheimer Disease (FAD)|Conventional (Clear Cell) Renal Cell Carcinoma|Organophosphorus Poisoning|Malignant neoplasm of prostate|Seizures, Somatosensory|Seizures, Auditory|Olfactory seizure|Gustatory seizure|Vertiginous seizure|Alzheimer Disease, Late Onset|Tonic - clonic seizures|Acute Confusional Senile Dementia|Breast Carcinoma|Organophosphate poisoning|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset|Non-epileptic convulsion|Single Seizure|Atonic Absence Seizures|Adult Learning Disorders|Learning Disturbance|Learning Disabilities|Age-Related Memory Disorders|Memory Disorder, Semantic|Memory Disorder, Spatial|Memory Loss|Convulsive Seizures|Seizures, Focal|Seizures, Sensory|Pill Rolling Tremor|Tremor, Semirhythmic|Mammary Neoplasms, Human|Chromophobe Renal Cell Carcinoma|Sarcomatoid Renal Cell Carcinoma|Collecting Duct Carcinoma of the Kidney|Papillary Renal Cell Carcinoma|Developmental Academic Disorder|Mammary Neoplasms|Involuntary Quiver|Organothiophosphonate Poisoning|Organothiophosphate Poisoning|Nonepileptic Seizures|Convulsions|Absence Seizures|Epileptic Seizures|Myoclonic Seizures|Generalized Absence Seizures|Mammary Carcinoma, Human"
"ACIN1","Colorectal Carcinoma|Intellectual Disability"
"ACKR1","Malaria"
"ACKR3","Rheumatoid Arthritis|Carcinoma|Colorectal Carcinoma|Colorectal Neoplasms|Kidney Diseases|Liver Cirrhosis, Experimental|Neoplasm Metastasis|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis"
"ACKR4","Spontaneous abortion|Abortion, Tubal|Early Pregnancy Loss|Miscarriage"
"ACLY","Heart failure|Congestive heart failure|Left-Sided Heart Failure|Obesity|Heart Failure, Right-Sided|Myocardial Failure|Heart Decompensation|Liver carcinoma"
"ACO1","Neoplasm Invasiveness|Degenerative polyarthritis|Osteoarthrosis Deformans"
"ACO2","Malignant neoplasm of breast|Respiratory Distress Syndrome, Adult|Liver carcinoma|INFANTILE CEREBELLAR-RETINAL DEGENERATION|OPTIC ATROPHY 9"
"ACOT1","Alloxan Diabetes|Diabetes Mellitus, Experimental|Hepatomegaly|Liver neoplasms|Streptozotocin Diabetes|Malignant neoplasm of liver"
"ACOT2","Myocardial Ischemia"
"ACOT6","Schizophrenia"
"ACOT9","Liver Cirrhosis, Experimental|Pancreatic Ductal Adenocarcinoma|Intellectual Disability"
"ACOX1","Alloxan Diabetes|Diabetes Mellitus, Experimental|Streptozotocin Diabetes|Peroxisomal ACYL-COA oxidase deficiency|Liver carcinoma"
"ACOX2","Liver Cirrhosis, Experimental|BILE ACID SYNTHESIS DEFECT, CONGENITAL, 6"
"ACOX3","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"ACOXL","Chronic Lymphocytic Leukemia"
"ACP1","Schizophrenia|Unipolar Depression|Major Depressive Disorder"
"ACP2","Acid Phosphatase Deficiency"
"ACP3","Juvenile-Onset Still Disease|Juvenile arthritis|Juvenile psoriatic arthritis|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"ACP4","Amelogenesis imperfecta local hypoplastic form|AMELOGENESIS IMPERFECTA, TYPE IJ"
"ACP5","Hyperparathyroidism, Secondary|Liver Cirrhosis, Experimental|Obesity|Spondyloenchondrodysplasia|Disproportionate short stature|SPONDYLOENCHONDRODYSPLASIA WITH IMMUNE DYSREGULATION|Autoinflammatory disorder"
"ACRBP","Prostatic Neoplasms|Juvenile-Onset Still Disease|Malignant neoplasm of prostate|Juvenile arthritis|Juvenile psoriatic arthritis|Polyarthritis, Juvenile, Rheumatoid Factor Negative|Polyarthritis, Juvenile, Rheumatoid Factor Positive"
"ACSF3","Methylmalonic acidemia|Malonic aciduria|Methylmalonic aciduria|Combined Malonic and Methylmalonic Aciduria"
"ACSL1","Alloxan Diabetes|Arthritis, Adjuvant-Induced|Carcinoma|Diabetes Mellitus, Experimental|Hepatitis, Toxic|Liver Cirrhosis, Experimental|Animal Mammary Neoplasms|Mammary Neoplasms, Experimental|Obesity|Streptozotocin Diabetes|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Drug-Induced Liver Disease|Arthritis, Collagen-Induced|Arthritis, Experimental|Mammary Carcinoma, Animal|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"ACSL4","Arthritis, Adjuvant-Induced|Colorectal Carcinoma|Endogenous depression|Depressive disorder|Melancholia|Prostatic Neoplasms|Unipolar Depression|Erythema|Depressive Syndrome|Adenocarcinoma of lung (disorder)|Depression, Neurotic|Malignant neoplasm of prostate|Arthritis, Collagen-Induced|Arthritis, Experimental|Mental Retardation, X-Linked 63|Alport Syndrome, Mental Retardation, Midface Hypoplasia, and Elliptocytosis|Liver carcinoma|Mental Retardation, X-Linked 1|Mental Retardation, X-Linked Nonsyndromic"
"ACSL5","Arthritis, Adjuvant-Induced|Colorectal Carcinoma|Arthritis, Collagen-Induced|Arthritis, Experimental"
"ACSL6","Leukemia, Myelocytic, Acute|Schizophrenia|Amphetamine-Related Disorders|Amphetamine Addiction|Amphetamine Abuse|MYELODYSPLASTIC SYNDROME"
"ACSM1","Lung Neoplasms|Schizophrenia|Unipolar Depression|Malignant neoplasm of lung|Major Depressive Disorder"
"ACSM3","Prostatic Neoplasms|Malignant neoplasm of prostate"
"ACTA1","Cardiomyopathy, Dilated|Hypertrophic Cardiomyopathy|Left Ventricular Hypertrophy|Centronuclear myopathy|Myopathies, Nemaline|Zebra body myopathy|Eichsfeld type congenital muscular dystrophy|X-linked centronuclear myopathy|Tubular Aggregate Myopathy|Nemaline Myopathy, Childhood Onset|Congenital Fiber Type Disproportion|Congenital Structural Myopathy|Myopathy, Actin, Congenital, with Excess of Thin Myofilaments|Myopathy, Centronuclear, Autosomal Dominant|Myopathy, Actin, Congenital, With Cores|Autosomal Recessive Centronuclear Myopathy|Autosomal Dominant Myotubular Myopathy|Actin-Accumulation Myopathy|MYOPATHY, SCAPULOHUMEROPERONEAL|Myopathy, Centronuclear, 1"
"ACTA2","Cholestasis, Extrahepatic|Malignant neoplasm of breast|Malignant tumor of colon|Colonic Neoplasms|Endometriosis|Fetal Growth Retardation|Focal glomerulosclerosis|Hepatitis, Chronic|Ischemia|Kidney Diseases|Liver Cirrhosis|Liver Cirrhosis, Experimental|Liver diseases|Moyamoya Disease|Myocardial Infarction|Nephrosclerosis|Pulmonary Fibrosis|Systemic Scleroderma|Ureteral obstruction|Hyalinosis, Segmental Glomerular|Liver Dysfunction|Chronic Persistent Hepatitis|Aortic Aneurysm, Thoracic|Fibrosis, Liver|Endometrioma|Aortic Aneurysm, Thoracoabdominal|Chronic active hepatitis|Cryptogenic Chronic Hepatitis|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Nephrogenic Fibrosing Dermopathy|Copper-Overload Cirrhosis|Aortic Aneurysm, Familial Thoracic 6|Moyamoya disease 1|MULTISYSTEMIC SMOOTH MUSCLE DYSFUNCTION SYNDROME|MOYAMOYA DISEASE 5|Mammary Carcinoma, Human|Familial thoracic aortic aneurysm and aortic dissection|Alveolitis, Fibrosing"
"ACTB","Anoxemia|Anoxia|Bipolar Disorder|Blood Platelet Disorders|Carcinoma|Congenital ocular coloboma (disorder)|Dysostoses|Dystonia|Esophageal Neoplasms|Sensorineural Hearing Loss (disorder)|Hepatitis, Toxic|Lung Neoplasms|Animal Mammary Neoplasms|Mammary Neoplasms, Experimental|Neoplasm Invasiveness|Degenerative polyarthritis|Schizophrenia|Osteoarthrosis Deformans|Myocardial Ischemia|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Hypoxia|Malignant neoplasm of lung|Pigmented hairy epidermal nevus|Cranioschisis|Qualitative abnormality of granulocyte|Craniofacial Abnormalities|Dystonia, Paroxysmal|Dystonia, Diurnal|Congenital neurologic anomalies|Malignant neoplasm of esophagus|Hypoxemia|Dystonia, Limb|Drug-Induced Liver Disease|Mammary Carcinoma, Animal|Hepatitis, Drug-Induced|Sensory hearing loss|Juvenile-onset dystonia|Fryns-Aftimos Syndrome|Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation|Becker Nevus Syndrome|Liver carcinoma|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Uveoretinal Coloboma"
"ACTC1","Cardiomyopathy, Dilated|Hypertrophic Cardiomyopathy|Malignant neoplasm of stomach|Precancerous Conditions|Refractive Errors|Stomach Neoplasms|Condition, Preneoplastic|Familial dilated cardiomyopathy|Ostium secundum atrial septal defect|Cardiomyopathies|Cardiomyopathy, Familial Idiopathic|Ametropia|Hereditary Diffuse Gastric Cancer|Left ventricular noncompaction|Cardiomyopathy, Familial Hypertrophic, 11|Atrial Septal Defect 5|CARDIOMYOPATHY, DILATED, 1R|LEFT VENTRICULAR NONCOMPACTION 4|Left ventricular noncompaction cardiomyopathy"
"ACTG1","Osteoporosis, Age-Related|Blepharoptosis|Carcinoma|Neoplastic Cell Transformation|Congenital ocular coloboma (disorder)|Epilepsy|Macrostomia|Animal Mammary Neoplasms|Mammary Neoplasms, Experimental|Osteoporosis|Osteoporosis, Senile|Ptosis|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Short upturned nose|Cranioschisis|Congenital coloboma of iris|Craniofacial Abnormalities|Congenital neurologic anomalies|Post-Traumatic Osteoporosis|Abnormality of the pinna|Acute Coronary Syndrome|Mammary Carcinoma, Animal|hearing impairment|Progressive sensorineural hearing impairment|Pointed chin|Long palpebral fissure|Fryns-Aftimos Syndrome|Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation|Deafness, Autosomal Dominant 20|Long philtrum|Thin upper lip vermilion|Highly arched eyebrow|Hearing loss begins with loss of high frequencies|Audiogram shows sloping configuration|Deafness, profound, by 6th decade|Microphthalmia (in some patients)|BARAITSER-WINTER SYNDROME 2|Deafness (in some patients)|Nonsyndromic Deafness|Short neck (in some patients)|Enlarged ventricles (in some patients)|Heart defect (in some patients)|Pterygium colli (in some patients)|Hypertelorism/telecanthus|Eye coloboma (in some patients)|Trigonocephaly/metopic ridge|Pectus (in some patients)|Kyphosis/scoliosis (in some patients)|Prominent nasal root on profile|Large, squared nose tip|Retrognathia (in some patients)|Prominent/full/wide cheeks|Uveoretinal Coloboma|Coloboma of choroid and retina"
"ACTG2","Malignant tumor of colon|Colonic Neoplasms|Visceral Myopathy|Visceral Myopathy, Familial|Megacystis microcolon intestinal hypoperistalsis syndrome|Megaduodenum and-or Megacystis"
"ACTL6A","Developmental delay (disorder)|Global developmental delay|Intellectual Disability"
"ACTL6B","Muscle Spasticity|Seizures|Epileptic encephalopathy|Global developmental delay|Intellectual Disability|Spasticity, CTCAE"
"ACTL9","Colorectal Carcinoma|Dermatitis, Atopic|Eczema, Infantile"
"ACTN1","Liver Cirrhosis, Experimental|Macrothrombocytopenia|BLEEDING DISORDER, PLATELET-TYPE, 15|Autosomal dominant macrothrombocytopenia"
"ACTN2","Familial dilated cardiomyopathy|Cardiomyopathies|Cardiomyopathy, Dilated, 1AA"
"ACTN4","Carcinoma|Focal glomerulosclerosis|Hepatitis, Toxic|Animal Mammary Neoplasms|Mammary Neoplasms, Experimental|Hyalinosis, Segmental Glomerular|Anaplastic carcinoma|Carcinoma, Spindle-Cell|Undifferentiated carcinoma|Carcinomatosis|Drug-Induced Liver Disease|Mammary Carcinoma, Animal|Hepatitis, Drug-Induced|NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Focal segmental glomerulosclerosis 1"
"ACTR2","Schizophrenia"
"ACTR3","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"ACTRT1","Follicular atrophoderma and basal cell epitheliomata|Carcinoma, Basal Cell"
"ACTRT2","Keloid"
"ACVR1","Astrocytoma|Malignant neoplasm of breast|Connective Tissue Diseases|Fibrodysplasia Ossificans Progressiva|Glioma|melanoma|Myositis Ossificans|Iron-Refractory Iron Deficiency Anemia|Subependymal Giant Cell Astrocytoma|Acute Lung Injury|mixed gliomas|Juvenile Pilocytic Astrocytoma|Diffuse Astrocytoma|Anaplastic astrocytoma|Protoplasmic astrocytoma|Gemistocytic astrocytoma|Fibrillary Astrocytoma|Pilocytic Astrocytoma|Childhood Cerebral Astrocytoma|Mixed oligoastrocytoma|Malignant Glioma|Breast Carcinoma|Cerebral Astrocytoma|Intracranial Astrocytoma|Mammary Neoplasms, Human|Mammary Neoplasms|Grade I Astrocytoma|Mammary Carcinoma, Human"
"ACVR1C","Squamous cell carcinoma of lung"
"ACVR2A","Gastric Adenocarcinoma|Microsatellite Instability|Replication Error Phenotype"
"ACVR2B","Situs Inversus|Asplenia Syndrome|Polysplenia Syndrome|Situs ambiguus|Situs ambiguous|HETEROTAXY, VISCERAL, 4, AUTOSOMAL|Heterotaxy Syndrome|Right Atrial Isomerism|Left Atrial Isomerism|Ciliopathies"
"ACVRL1","Blood Coagulation Disorders|Epistaxis|Pulmonary Hypertension|Hereditary hemorrhagic telangiectasia|Telangiectasis|Pulmonary Arteriovenous Fistulas|Congenital pulmonary arteriovenous malformation|Familial primary pulmonary hypertension|Arteriovenous malformation of liver|2-oxo-hept-3-ene-1,7-dioate hydratase activity|Bleeding tendency|Familial pulmonary arterial hypertension|HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED PULMONARY ARTERIAL HYPERTENSION|OSLER-RENDU-WEBER SYNDROME 2|Pulmonary arteriovenous malformation|Pulmonary arterial hypertension|Idiopathic pulmonary arterial hypertension|Vascular Remodeling|Pulmonary Arterial Remodeling|Telangiectasia, Hereditary Hemorrhagic, Type 1|Familial thoracic aortic aneurysm and aortic dissection"
"ACY1","Malignant neoplasm of breast|Renal Cell Carcinoma|Precancerous Conditions|Conventional (Clear Cell) Renal Cell Carcinoma|Condition, Preneoplastic|Chromophobe Renal Cell Carcinoma|Sarcomatoid Renal Cell Carcinoma|Collecting Duct Carcinoma of the Kidney|Papillary Renal Cell Carcinoma|Aminoacylase 1 deficiency|Intellectual Disability"
"ACYP2","HEARING LOSS, CISPLATIN-INDUCED, SUSCEPTIBILITY TO"
"ADA","Autistic Disorder|Hyperemia|Liver Cirrhosis, Experimental|Lung Neoplasms|Spinal Cord Diseases|Venous Engorgement|Severe Combined Immunodeficiency|Reactive Hyperemia|Multiple gastrointestinal atresias (disorder)|Malignant neoplasm of lung|Adenosine deaminase deficiency|Active Hyperemia|Severe combined immunodeficiency due to adenosine deaminase deficiency|Structural Clinical Interview for DSM-III|Pancreatic Ductal Adenocarcinoma|SCID Due to ADA Deficiency, Early-Onset|Partial adenosine deaminase deficiency|Omenn Syndrome"
"ADA2","Polyarteritis Nodosa|Evans syndrome|Sneddon Syndrome|Combined immunodeficiency|Anemia, Diamond-Blackfan|Diamond-Blackfan Anemia 1|Aase Smith syndrome 2|Autoinflammatory disorder|POLYARTERITIS NODOSA, CHILDHOOD-ONSET"
"ADAM10","Alzheimer's Disease|Malignant neoplasm of breast|Presenile dementia|Familial Alzheimer Disease (FAD)|Reticulate acropigmentation of Kitamura|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Breast Carcinoma|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset|Mammary Neoplasms, Human|Stage IV Skin Melanoma|Mammary Neoplasms|dowling-degos disease|ALZHEIMER DISEASE 18|Dowling-Degos disease 1|Mammary Carcinoma, Human"
"ADAM11","Pancreatic Ductal Adenocarcinoma"
"ADAM12","Malignant neoplasm of breast|Schizophrenia|Stage IV Skin Melanoma"
"ADAM17","Bulla|Colitis|Liver Cirrhosis, Experimental|Immunodeficiency without anhidrotic ectodermal dysplasia|ATYPICAL MYCOBACTERIOSIS, FAMILIAL, X-LINKED 1 (disorder)|INFLAMMATORY SKIN AND BOWEL DISEASE, NEONATAL, 1|Autoinflammatory disorder|Neonatal inflammatory skin and bowel disease"
"ADAM18","Stage IV Skin Melanoma"
"ADAM19","Colorectal Carcinoma|Pancreatic Ductal Adenocarcinoma"
"ADAM22","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 61"
"ADAM28","Lung Neoplasms|Prostatic Neoplasms|Malignant neoplasm of lung|Malignant neoplasm of prostate|Stage IV Skin Melanoma"
"ADAM29","Colorectal Carcinoma|Stage IV Skin Melanoma"
"ADAM33","Malignant neoplasm of breast|Bronchial Hyperreactivity|Breast Carcinoma|Mammary Neoplasms, Human|Stage IV Skin Melanoma|Mammary Neoplasms|Mammary Carcinoma, Human"
"ADAM3A","Hepatomegaly"
"ADAM7","Stage IV Skin Melanoma"
"ADAM8","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"ADAM9","Disorder of eye|Prostatic Neoplasms|Malignant neoplasm of prostate|CONE-ROD DYSTROPHY 9|Cone-Rod Dystrophy 2"
"ADAMTS1","Alzheimer's Disease|Malignant neoplasm of breast|Non-Small Cell Lung Carcinoma|Presenile dementia|Neoplasm Invasiveness|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Breast Carcinoma|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset|Mammary Neoplasms, Human|Mammary Neoplasms|Liver carcinoma|Mammary Carcinoma, Human"
"ADAMTS10","Weill-Marchesani syndrome|Weill-Marchesani Syndrome, Autosomal Recessive|Weill-Marchesani Syndrome, Autosomal Dominant|WEILL-MARCHESANI SYNDROME 1|Familial thoracic aortic aneurysm and aortic dissection"
"ADAMTS12","Schizophrenia"
"ADAMTS13","Purpura, Thrombotic Thrombocytopenic|Thrombosis|Immune thrombocytopenic purpura|Congenital Thrombotic Thrombocytopenic Purpura|Familial Thrombotic Thrombocytopenic Purpura|Liver carcinoma|Thrombotic Microangiopathies"
"ADAMTS15","Colorectal Carcinoma"
"ADAMTS17","Liver neoplasms|Malignant neoplasm of liver|Weill-Marchesani-Like Syndrome"
"ADAMTS18","Colorectal Carcinoma|MICROCORNEA, MYOPIC CHORIORETINAL ATROPHY, AND TELECANTHUS"
"ADAMTS19","Malignant neoplasm of breast"
"ADAMTS2","Malignant mesothelioma|EHLERS-DANLOS SYNDROME, DERMATOSPARAXIS TYPE"
"ADAMTS20","melanoma"
"ADAMTS3","Schizophrenia|Hennekam lymphangiectasia-lymphedema syndrome|HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME 3"
"ADAMTS5","Hepatomegaly"
"ADAMTS7","Coronary Arteriosclerosis|Polycystic Ovary Syndrome|Sclerocystic Ovaries|Coronary Artery Disease"
"ADAMTS8","Prostatic Neoplasms|Malignant neoplasm of prostate"
"ADAMTS9","Diabetes Mellitus, Non-Insulin-Dependent|Nephronophthisis, familial juvenile"
"ADAMTSL2","Contracture|Dyschondroplasias|Growth Disorders|Congenital Hand Deformities|Heart valve disease|Hepatomegaly|Melnick-Needles Syndrome|Inborn Errors of Metabolism|Multiple Epiphyseal Dysplasia|Osteochondrodysplasias|Schwartz-Jampel Syndrome|Spondyloepiphyseal Dysplasia|Acromicric Dysplasia|Facies|Van Buchem disease|GELEOPHYSIC DYSPLASIA 1|Geleophysic dysplasia|Spondyloepiphyseal Dysplasia Tarda, X-Linked|Schwartz-Jampel Syndrome, Type 1"
